subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P33,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.2841456
P33,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.2750428
P33,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1135059
P33,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1738389
P33,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.3046757
P33,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.4284421
P33,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.2998687
P33,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.3327704
P33,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1790925
P33,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.1650631
P33,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.176626
P33,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1310575
P33,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0,Coupling A,0.2865232
P33,20,Female,Rigth handed,1,VAS,0,Coupling A,0.3203564
P33,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.2762833
P33,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.2640138
P33,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1222096
P33,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.09703103
P33,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1024281
P33,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.09575997
P33,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.2451743
P33,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.2730894
P33,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0,Coupling A,0.2870857
P33,20,Female,Rigth handed,1,VAS,0,Coupling A,0.2936403
P33,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.2678141
P33,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.3068793
P33,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.2135125
P33,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.3179989
P33,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0,Coupling A,0.2667573
P33,20,Female,Rigth handed,1,VAS,0,Coupling A,0.2672949
P33,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1848709
P33,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1735713
P33,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1679422
P33,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1905121
P33,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0,Coupling A,0.282151
P33,20,Female,Rigth handed,1,VAS,0,Coupling A,0.2918516
P33,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1735947
P33,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1618144
P33,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1956763
P33,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1649557
P33,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.1538626
P33,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.2869571
P33,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.132508
P33,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.1665603
P33,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.2973629
P33,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.3027028
P33,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0,Coupling A,0.3278759
P33,20,Female,Rigth handed,1,VAS,0,Coupling A,0.3121061
P33,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1289576
P33,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1225984
P33,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1471828
P33,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1554021
P33,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1461272
P33,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1671782
P33,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1136056
P33,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1305984
P33,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1081661
P33,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1350464
P33,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0,Coupling A,0.1202875
P33,20,Female,Rigth handed,1,VAS,0,Coupling A,0.1164606
P33,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1150329
P33,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.1246441
P33,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.1073642
P33,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.1336078
P33,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1146027
P33,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.142125
P33,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33,20,Female,Rigth handed,0,VAS,0,Coupling A,0.1354592
P33,20,Female,Rigth handed,1,VAS,0,Coupling A,0.112945
P33,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1257729
P33,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1132764
