subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P15,19,Female,Rigth handed,0,ForcedChoice,0,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0,Coupling A,0.7352343
P15,19,Female,Rigth handed,1,VAS,0,Coupling A,0.4811576
P15,19,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.45,Coupling A,0.3338333
P15,19,Female,Rigth handed,1,VAS,0.45,Coupling A,0.2868774
P15,19,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.9,Coupling A,0.5532801
P15,19,Female,Rigth handed,1,VAS,0.9,Coupling A,0.2697118
P15,19,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0,Coupling A,0.8140637
P15,19,Female,Rigth handed,1,VAS,0,Coupling A,0.7971278
P15,19,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.675,Coupling A,0.04563933
P15,19,Female,Rigth handed,1,VAS,0.675,Coupling A,0.4053447
P15,19,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.9,Coupling A,0.2817848
P15,19,Female,Rigth handed,1,VAS,0.9,Coupling A,0.8235266
P15,19,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.225,Coupling A,0.6504418
P15,19,Female,Rigth handed,1,VAS,0.225,Coupling A,0.9341743
P15,19,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.45,Coupling A,0.3004987
P15,19,Female,Rigth handed,1,VAS,0.45,Coupling A,0.4648256
P15,19,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.225,Coupling A,0.6835167
P15,19,Female,Rigth handed,1,VAS,0.225,Coupling A,0.6209415
P15,19,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0,Coupling A,0.2809246
P15,19,Female,Rigth handed,1,VAS,0,Coupling A,0.5990179
P15,19,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1050676
P15,19,Female,Rigth handed,1,VAS,0.9,Coupling A,0.08591724
P15,19,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.675,Coupling A,0.2650204
P15,19,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1388695
P15,19,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.45,Coupling A,0.2997625
P15,19,Female,Rigth handed,1,VAS,0.45,Coupling A,0.2572928
P15,19,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0,Coupling A,0.9116262
P15,19,Female,Rigth handed,1,VAS,0,Coupling A,0.9297463
P15,19,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.675,Coupling A,0.3442026
P15,19,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1433142
P15,19,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.225,Coupling A,0.74349
P15,19,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8431202
P15,19,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.225,Coupling A,0.5321413
P15,19,Female,Rigth handed,1,VAS,0.225,Coupling A,0.6015665
P15,19,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.225,Coupling A,0.04377585
P15,19,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8200914
P15,19,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0,Coupling A,0.2825205
P15,19,Female,Rigth handed,1,VAS,0,Coupling A,0.4991884
P15,19,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.225,Coupling A,0.2089677
P15,19,Female,Rigth handed,1,VAS,0.225,Coupling A,0.3590183
P15,19,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1145879
P15,19,Female,Rigth handed,1,VAS,0.45,Coupling A,0.3489688
P15,19,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.675,Coupling A,0.212141
P15,19,Female,Rigth handed,1,VAS,0.675,Coupling A,0.3349426
P15,19,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.675,Coupling A,0.03479586
P15,19,Female,Rigth handed,1,VAS,0.675,Coupling A,0.7486203
P15,19,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0,Coupling A,0.3279355
P15,19,Female,Rigth handed,1,VAS,0,Coupling A,0.6201084
P15,19,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.45,Coupling A,0.3046812
P15,19,Female,Rigth handed,1,VAS,0.45,Coupling A,0.6442748
P15,19,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.225,Coupling A,0.5658837
P15,19,Female,Rigth handed,1,VAS,0.225,Coupling A,0.739056
P15,19,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.45,Coupling A,0.4285755
P15,19,Female,Rigth handed,1,VAS,0.45,Coupling A,0.50269
P15,19,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1643303
P15,19,Female,Rigth handed,1,VAS,0.675,Coupling A,0.8085034
P15,19,Female,Rigth handed,0,ForcedChoice,0,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0,Coupling A,0.3859465
P15,19,Female,Rigth handed,1,VAS,0,Coupling A,0.59346
P15,19,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.9,Coupling A,0.2137475
P15,19,Female,Rigth handed,1,VAS,0.9,Coupling A,0.282575
P15,19,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.675,Coupling A,0.2069551
P15,19,Female,Rigth handed,1,VAS,0.675,Coupling A,0.3468078
P15,19,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1178092
P15,19,Female,Rigth handed,1,VAS,0.9,Coupling A,0.04056779
P15,19,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.9,Coupling A,0.3766256
P15,19,Female,Rigth handed,1,VAS,0.9,Coupling A,0.5314556
P15,19,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P15,19,Female,Rigth handed,0,VAS,0.45,Coupling A,0.3488146
P15,19,Female,Rigth handed,1,VAS,0.45,Coupling A,0.5997207
P15,19,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P15,19,Female,Rigth handed,0,VAS,0.9,Coupling A,0.3059489
P15,19,Female,Rigth handed,1,VAS,0.9,Coupling A,0.3996596
